Date,Report_Month,County_Name,County_Code,Metric,Value
2020-07-01,Jul 2020,Los Angeles,19,Net GR Expenditure,22738181.0
2020-07-01,Jul 2020,Madera,20,Net GR Expenditure,12034.0
2020-07-01,Jul 2020,Marin,21,Net GR Expenditure,263420.0
2020-07-01,Jul 2020,Mariposa,22,Net GR Expenditure,13263.0
2020-07-01,Jul 2020,Mendocino,23,Net GR Expenditure,8195.0
2020-07-01,Jul 2020,Merced,24,Net GR Expenditure,7643.0
2020-07-01,Jul 2020,San Bernardino,36,Net GR Expenditure,10515.0
2020-07-01,Jul 2020,Modoc,25,Net GR Expenditure,6848.0
2020-07-01,Jul 2020,Monterey,27,Net GR Expenditure,141971.0
2020-07-01,Jul 2020,Napa,28,Net GR Expenditure,610.0
2020-07-01,Jul 2020,Nevada,29,Net GR Expenditure,-6187.0
2020-07-01,Jul 2020,Orange,30,Net GR Expenditure,1161178.0
2020-07-01,Jul 2020,Placer,31,Net GR Expenditure,9898.0
2020-07-01,Jul 2020,Plumas,32,Net GR Expenditure,2360.0
2020-07-01,Jul 2020,Riverside,33,Net GR Expenditure,600411.0
2020-07-01,Jul 2020,Sacramento,34,Net GR Expenditure,637976.0
2020-07-01,Jul 2020,Mono,26,Net GR Expenditure,215.0
2020-07-01,Jul 2020,Yolo,57,Net GR Expenditure,7854.0
2020-07-01,Jul 2020,Nevada,29,One-person Cases,55.0
2020-07-01,Jul 2020,Placer,31,One-person Cases,121.0
2020-07-01,Jul 2020,Modoc,25,Total GR Expenditure,6848.0
2020-07-01,Jul 2020,Mono,26,Total GR Expenditure,215.0
2020-07-01,Jul 2020,Monterey,27,Total GR Expenditure,149892.0
2020-07-01,Jul 2020,Napa,28,Total GR Expenditure,610.0
2020-07-01,Jul 2020,Nevada,29,Total GR Expenditure,7289.0
2020-07-01,Jul 2020,Orange,30,Total GR Expenditure,1289759.0
2020-07-01,Jul 2020,Placer,31,Total GR Expenditure,22563.0
2020-07-01,Jul 2020,Plumas,32,Total GR Expenditure,2360.0
2020-07-01,Jul 2020,Riverside,33,Total GR Expenditure,623634.0
2020-07-01,Jul 2020,Sacramento,34,Total GR Expenditure,755917.0
2020-07-01,Jul 2020,San Benito,35,Total GR Expenditure,33628.0
2020-07-01,Jul 2020,San Bernardino,36,Total GR Expenditure,28262.0
2020-07-01,Jul 2020,San Diego,37,Total GR Expenditure,2112148.0
2020-07-01,Jul 2020,San Francisco,38,Total GR Expenditure,2623299.0
2020-07-01,Jul 2020,San Joaquin,39,Total GR Expenditure,53253.0
2020-07-01,Jul 2020,San Luis Obispo,40,Total GR Expenditure,154646.0
2020-07-01,Jul 2020,San Mateo,41,Total GR Expenditure,150756.0
2020-07-01,Jul 2020,Merced,24,Total GR Expenditure,14002.0
2020-07-01,Jul 2020,Mendocino,23,Total GR Expenditure,8562.0
2020-07-01,Jul 2020,Mariposa,22,Total GR Expenditure,13263.0
2020-07-01,Jul 2020,Marin,21,Total GR Expenditure,275789.0
2020-07-01,Jul 2020,Amador,03,Total GR Expenditure,958.0
2020-07-01,Jul 2020,Butte,04,Total GR Expenditure,273712.0
2020-07-01,Jul 2020,Calaveras,05,Total GR Expenditure,4073.0
2020-07-01,Jul 2020,Colusa,06,Total GR Expenditure,520.0
2020-07-01,Jul 2020,Contra Costa,07,Total GR Expenditure,131386.0
2020-07-01,Jul 2020,Del Norte,08,Total GR Expenditure,6158.0
2020-07-01,Jul 2020,El Dorado,09,Total GR Expenditure,13632.0
2020-07-01,Jul 2020,Fresno,10,Total GR Expenditure,525574.0
2020-07-01,Jul 2020,Santa Barbara,42,Total GR Expenditure,28939.0
2020-07-01,Jul 2020,Glenn,11,Total GR Expenditure,7514.0
2020-07-01,Jul 2020,Imperial,13,Total GR Expenditure,15214.0
2020-07-01,Jul 2020,Inyo,14,Total GR Expenditure,12478.0
2020-07-01,Jul 2020,Kern,15,Total GR Expenditure,484841.0
2020-07-01,Jul 2020,Kings,16,Total GR Expenditure,5660.0
2020-07-01,Jul 2020,Lake,17,Total GR Expenditure,0.0
2020-07-01,Jul 2020,Lassen,18,Total GR Expenditure,12888.0
2020-07-01,Jul 2020,Los Angeles,19,Total GR Expenditure,23310655.0
2020-07-01,Jul 2020,Madera,20,Total GR Expenditure,14294.0
2020-07-01,Jul 2020,Humboldt,12,Total GR Expenditure,35481.0
2020-07-01,Jul 2020,Santa Clara,43,Total GR Expenditure,714725.0
2020-07-01,Jul 2020,Santa Cruz,44,Total GR Expenditure,69307.0
2020-07-01,Jul 2020,Shasta,45,Total GR Expenditure,120004.0
2020-07-01,Jul 2020,Sonoma,49,One-person Cases,200.0
2020-07-01,Jul 2020,Solano,48,One-person Cases,384.0
2020-07-01,Jul 2020,Siskiyou,47,One-person Cases,43.0
2020-07-01,Jul 2020,Sierra,46,One-person Cases,
2020-07-01,Jul 2020,Shasta,45,One-person Cases,277.0
2020-07-01,Jul 2020,Santa Cruz,44,One-person Cases,
2020-07-01,Jul 2020,Santa Clara,43,One-person Cases,4253.0
2020-07-01,Jul 2020,Santa Barbara,42,One-person Cases,
2020-07-01,Jul 2020,Stanislaus,50,One-person Cases,189.0
2020-07-01,Jul 2020,San Mateo,41,One-person Cases,288.0
2020-07-01,Jul 2020,San Joaquin,39,One-person Cases,
2020-07-01,Jul 2020,San Francisco,38,One-person Cases,
2020-07-01,Jul 2020,San Diego,37,One-person Cases,4968.0
2020-07-01,Jul 2020,San Bernardino,36,One-person Cases,94.0
2020-07-01,Jul 2020,San Benito,35,One-person Cases,72.0
2020-07-01,Jul 2020,Sacramento,34,One-person Cases,
2020-07-01,Jul 2020,Riverside,33,One-person Cases,2218.0
2020-07-01,Jul 2020,Plumas,32,One-person Cases,
2020-07-01,Jul 2020,San Luis Obispo,40,One-person Cases,
2020-07-01,Jul 2020,Orange,30,One-person Cases,4263.0
2020-07-01,Jul 2020,Sutter,51,One-person Cases,
2020-07-01,Jul 2020,Trinity,53,One-person Cases,
2020-07-01,Jul 2020,Sierra,46,Total GR Expenditure,5187.0
2020-07-01,Jul 2020,Siskiyou,47,Total GR Expenditure,14218.0
2020-07-01,Jul 2020,Solano,48,Total GR Expenditure,139277.0
2020-07-01,Jul 2020,Sonoma,49,Total GR Expenditure,41043.0
2020-07-01,Jul 2020,Stanislaus,50,Total GR Expenditure,99474.0
2020-07-01,Jul 2020,Sutter,51,Total GR Expenditure,2219.0
2020-07-01,Jul 2020,Tehama,52,Total GR Expenditure,12961.0
2020-07-01,Jul 2020,Trinity,53,Total GR Expenditure,1892.0
2020-07-01,Jul 2020,Tehama,52,One-person Cases,39.0
2020-07-01,Jul 2020,Tulare,54,Total GR Expenditure,76776.0
2020-07-01,Jul 2020,Ventura,56,Total GR Expenditure,53454.0
2020-07-01,Jul 2020,Yolo,57,Total GR Expenditure,9214.0
2020-07-01,Jul 2020,Yuba,58,Total GR Expenditure,5699.0
2020-07-01,Jul 2020,Yuba,58,One-person Cases,27.0
2020-07-01,Jul 2020,Yolo,57,One-person Cases,45.0
2020-07-01,Jul 2020,Ventura,56,One-person Cases,
2020-07-01,Jul 2020,Tuolumne,55,One-person Cases,
2020-07-01,Jul 2020,Tulare,54,One-person Cases,
2020-07-01,Jul 2020,Tuolumne,55,Total GR Expenditure,520.0
2020-07-01,Jul 2020,Yuba,58,Net GR Expenditure,3673.0
2020-07-01,Jul 2020,Alameda,01,Net GR Expenditure,2720845.0
2020-07-01,Jul 2020,Alameda,01,Total GR Expenditure,2873990.0
2020-07-01,Jul 2020,Plumas,32,Total GR Cases,15.0
2020-07-01,Jul 2020,Riverside,33,Total GR Cases,2239.0
2020-07-01,Jul 2020,Sacramento,34,Total GR Cases,2930.0
2020-07-01,Jul 2020,San Benito,35,Total GR Cases,72.0
2020-07-01,Jul 2020,San Bernardino,36,Total GR Cases,94.0
2020-07-01,Jul 2020,San Diego,37,Total GR Cases,4989.0
2020-07-01,Jul 2020,San Francisco,38,Total GR Cases,5317.0
2020-07-01,Jul 2020,San Joaquin,39,Total GR Cases,354.0
2020-07-01,Jul 2020,San Luis Obispo,40,Total GR Cases,442.0
2020-07-01,Jul 2020,San Mateo,41,Total GR Cases,288.0
2020-07-01,Jul 2020,Santa Barbara,42,Total GR Cases,275.0
2020-07-01,Jul 2020,Santa Clara,43,Total GR Cases,4275.0
2020-07-01,Jul 2020,Placer,31,Total GR Cases,121.0
2020-07-01,Jul 2020,Santa Cruz,44,Total GR Cases,265.0
2020-07-01,Jul 2020,Sierra,46,Total GR Cases,11.0
2020-07-01,Jul 2020,Siskiyou,47,Total GR Cases,43.0
2020-07-01,Jul 2020,Solano,48,Total GR Cases,384.0
2020-07-01,Jul 2020,Sonoma,49,Total GR Cases,200.0
2020-07-01,Jul 2020,Stanislaus,50,Total GR Cases,189.0
2020-07-01,Jul 2020,Sutter,51,Total GR Cases,
2020-07-01,Jul 2020,Tehama,52,Total GR Cases,39.0
2020-07-01,Jul 2020,Trinity,53,Total GR Cases,
2020-07-01,Jul 2020,Tulare,54,Total GR Cases,397.0
2020-07-01,Jul 2020,Tuolumne,55,Total GR Cases,
2020-07-01,Jul 2020,Ventura,56,Total GR Cases,228.0
2020-07-01,Jul 2020,Yuba,58,Total GR Cases,27.0
2020-07-01,Jul 2020,Shasta,45,Total GR Cases,277.0
2020-07-01,Jul 2020,Orange,30,Total GR Cases,4318.0
2020-07-01,Jul 2020,Yolo,57,Total GR Cases,45.0
2020-07-01,Jul 2020,Napa,28,Total GR Cases,
2020-07-01,Jul 2020,Nevada,29,Total GR Cases,55.0
2020-07-01,Jul 2020,Amador,03,Total GR Cases,
2020-07-01,Jul 2020,Butte,04,Total GR Cases,538.0
2020-07-01,Jul 2020,Calaveras,05,Total GR Cases,
2020-07-01,Jul 2020,Colusa,06,Total GR Cases,
2020-07-01,Jul 2020,Contra Costa,07,Total GR Cases,579.0
2020-07-01,Jul 2020,Del Norte,08,Total GR Cases,23.0
2020-07-01,Jul 2020,El Dorado,09,Total GR Cases,70.0
2020-07-01,Jul 2020,Fresno,10,Total GR Cases,2474.0
2020-07-01,Jul 2020,Glenn,11,Total GR Cases,27.0
2020-07-01,Jul 2020,Humboldt,12,Total GR Cases,180.0
2020-07-01,Jul 2020,Imperial,13,Total GR Cases,75.0
2020-07-01,Jul 2020,Inyo,14,Total GR Cases,27.0
2020-07-01,Jul 2020,Alpine,02,Total GR Cases,0.0
2020-07-01,Jul 2020,Kings,16,Total GR Cases,38.0
2020-07-01,Jul 2020,Kern,15,Total GR Cases,1292.0
2020-07-01,Jul 2020,Monterey,27,Total GR Cases,457.0
2020-07-01,Jul 2020,Mono,26,Total GR Cases,
2020-07-01,Jul 2020,Modoc,25,Total GR Cases,28.0
2020-07-01,Jul 2020,Mendocino,23,Total GR Cases,28.0
2020-07-01,Jul 2020,Merced,24,Total GR Cases,109.0
2020-07-01,Jul 2020,Marin,21,Total GR Cases,732.0
2020-07-01,Jul 2020,Madera,20,Total GR Cases,64.0
2020-07-01,Jul 2020,Los Angeles,19,Total GR Cases,107647.0
2020-07-01,Jul 2020,Lassen,18,Total GR Cases,44.0
2020-07-01,Jul 2020,Lake,17,Total GR Cases,0.0
2020-07-01,Jul 2020,Mariposa,22,Total GR Cases,43.0
2020-08-01,Aug 2020,San Francisco,38,Total GR Cases,4882.0
2020-08-01,Aug 2020,San Luis Obispo,40,Total GR Cases,369.0
2020-08-01,Aug 2020,San Joaquin,39,Total GR Cases,287.0
2020-08-01,Aug 2020,San Diego,37,Total GR Cases,4584.0
2020-08-01,Aug 2020,Placer,31,Total GR Cases,124.0
2020-08-01,Aug 2020,San Benito,35,Total GR Cases,68.0
2020-08-01,Aug 2020,Sacramento,34,Total GR Cases,3247.0
2020-08-01,Aug 2020,Riverside,33,Total GR Cases,1860.0
2020-08-01,Aug 2020,Plumas,32,Total GR Cases,20.0
2020-08-01,Aug 2020,San Bernardino,36,Total GR Cases,96.0
2020-08-01,Aug 2020,San Mateo,41,Total GR Cases,244.0
2020-08-01,Aug 2020,Siskiyou,47,Total GR Cases,41.0
2020-08-01,Aug 2020,Santa Clara,43,Total GR Cases,4153.0
2020-08-01,Aug 2020,Santa Cruz,44,Total GR Cases,246.0
2020-08-01,Aug 2020,Shasta,45,Total GR Cases,242.0
2020-08-01,Aug 2020,Sierra,46,Total GR Cases,
2020-08-01,Aug 2020,Solano,48,Total GR Cases,309.0
2020-08-01,Aug 2020,Sonoma,49,Total GR Cases,164.0
2020-08-01,Aug 2020,Stanislaus,50,Total GR Cases,142.0
2020-08-01,Aug 2020,Sutter,51,Total GR Cases,
2020-08-01,Aug 2020,Tehama,52,Total GR Cases,38.0
2020-08-01,Aug 2020,Trinity,53,Total GR Cases,
2020-08-01,Aug 2020,Tulare,54,Total GR Cases,356.0
2020-08-01,Aug 2020,Orange,30,Total GR Cases,3544.0
2020-08-01,Aug 2020,Santa Barbara,42,Total GR Cases,250.0
2020-08-01,Aug 2020,Tuolumne,55,Total GR Cases,
2020-08-01,Aug 2020,Kern,15,Total GR Cases,1222.0
2020-08-01,Aug 2020,Napa,28,Total GR Cases,
2020-08-01,Aug 2020,Ventura,56,Total GR Cases,215.0
2020-08-01,Aug 2020,Alameda,01,Total GR Cases,7451.0
2020-08-01,Aug 2020,Alpine,02,Total GR Cases,0.0
2020-08-01,Aug 2020,Amador,03,Total GR Cases,
2020-08-01,Aug 2020,Butte,04,Total GR Cases,414.0
2020-08-01,Aug 2020,Calaveras,05,Total GR Cases,
2020-08-01,Aug 2020,Colusa,06,Total GR Cases,
2020-08-01,Aug 2020,Contra Costa,07,Total GR Cases,533.0
2020-08-01,Aug 2020,Del Norte,08,Total GR Cases,
2020-08-01,Aug 2020,El Dorado,09,Total GR Cases,83.0
2020-08-01,Aug 2020,Fresno,10,Total GR Cases,2029.0
2020-08-01,Aug 2020,Glenn,11,Total GR Cases,31.0
2020-08-01,Aug 2020,Nevada,29,Total GR Cases,53.0
2020-08-01,Aug 2020,Humboldt,12,Total GR Cases,141.0
2020-08-01,Aug 2020,Inyo,14,Total GR Cases,25.0
2020-08-01,Aug 2020,Kings,16,Total GR Cases,37.0
2020-08-01,Aug 2020,Lake,17,Total GR Cases,0.0
2020-08-01,Aug 2020,Lassen,18,Total GR Cases,38.0
2020-08-01,Aug 2020,Los Angeles,19,Total GR Cases,110411.0
2020-08-01,Aug 2020,Madera,20,Total GR Cases,49.0
2020-08-01,Aug 2020,Marin,21,Total GR Cases,761.0
2020-08-01,Aug 2020,Mariposa,22,Total GR Cases,42.0
2020-08-01,Aug 2020,Mendocino,23,Total GR Cases,23.0
2020-08-01,Aug 2020,Merced,24,Total GR Cases,85.0
2020-08-01,Aug 2020,Modoc,25,Total GR Cases,26.0
2020-08-01,Aug 2020,Mono,26,Total GR Cases,
2020-08-01,Aug 2020,Imperial,13,Total GR Cases,0.0
2020-08-01,Aug 2020,Yolo,57,Total GR Cases,42.0
2020-08-01,Aug 2020,Napa,28,Net GR Expenditure,512.0
2020-08-01,Aug 2020,Alameda,01,Net GR Expenditure,2328699.0
2020-08-01,Aug 2020,Plumas,32,Net GR Expenditure,2696.0
2020-08-01,Aug 2020,Riverside,33,Net GR Expenditure,496763.0
2020-08-01,Aug 2020,Sacramento,34,Net GR Expenditure,1505760.0
2020-08-01,Aug 2020,San Benito,35,Net GR Expenditure,3152.0
2020-08-01,Aug 2020,San Bernardino,36,Net GR Expenditure,8701.0
2020-08-01,Aug 2020,San Diego,37,Net GR Expenditure,1863469.0
2020-08-01,Aug 2020,San Francisco,38,Net GR Expenditure,2326302.0
2020-08-01,Aug 2020,San Joaquin,39,Net GR Expenditure,39837.0
2020-08-01,Aug 2020,San Luis Obispo,40,Net GR Expenditure,98932.0
2020-08-01,Aug 2020,San Mateo,41,Net GR Expenditure,124930.0
2020-08-01,Aug 2020,Santa Barbara,42,Net GR Expenditure,20725.0
2020-08-01,Aug 2020,Santa Clara,43,Net GR Expenditure,661480.0
2020-08-01,Aug 2020,Santa Cruz,44,Net GR Expenditure,52900.0
2020-08-01,Aug 2020,Shasta,45,Net GR Expenditure,83045.0
2020-08-01,Aug 2020,Sierra,46,Net GR Expenditure,4269.0
2020-08-01,Aug 2020,Siskiyou,47,Net GR Expenditure,10319.0
2020-08-01,Aug 2020,Solano,48,Net GR Expenditure,93640.0
2020-08-01,Aug 2020,Sonoma,49,Net GR Expenditure,18625.0
2020-08-01,Aug 2020,Stanislaus,50,Net GR Expenditure,62588.0
2020-08-01,Aug 2020,Sutter,51,Net GR Expenditure,526.0
2020-08-01,Aug 2020,Tehama,52,Net GR Expenditure,13214.0
2020-08-01,Aug 2020,Trinity,53,Net GR Expenditure,1081.0
2020-08-01,Aug 2020,Tulare,54,Net GR Expenditure,71154.0
2020-08-01,Aug 2020,Tuolumne,55,Net GR Expenditure,455.0
2020-08-01,Aug 2020,Ventura,56,Net GR Expenditure,24774.0
2020-08-01,Aug 2020,Placer,31,Net GR Expenditure,12803.0
2020-08-01,Aug 2020,Yuba,58,Total GR Cases,22.0
2020-08-01,Aug 2020,Orange,30,Net GR Expenditure,958629.0
2020-08-01,Aug 2020,Monterey,27,Net GR Expenditure,115985.0
2020-08-01,Aug 2020,Alpine,02,Net GR Expenditure,0.0
2020-08-01,Aug 2020,Amador,03,Net GR Expenditure,1170.0
2020-08-01,Aug 2020,Butte,04,Net GR Expenditure,158306.0
2020-08-01,Aug 2020,Calaveras,05,Net GR Expenditure,2625.0
2020-08-01,Aug 2020,Colusa,06,Net GR Expenditure,520.0
2020-08-01,Aug 2020,Contra Costa,07,Net GR Expenditure,117678.0
2020-08-01,Aug 2020,Del Norte,08,Net GR Expenditure,2354.0
2020-08-01,Aug 2020,El Dorado,09,Net GR Expenditure,1115.0
2020-08-01,Aug 2020,Fresno,10,Net GR Expenditure,369263.0
2020-08-01,Aug 2020,Glenn,11,Net GR Expenditure,9954.0
2020-08-01,Aug 2020,Humboldt,12,Net GR Expenditure,12637.0
2020-08-01,Aug 2020,Imperial,13,Net GR Expenditure,15047.0
2020-08-01,Aug 2020,Inyo,14,Net GR Expenditure,11773.0
2020-08-01,Aug 2020,Kern,15,Net GR Expenditure,405309.0
2020-08-01,Aug 2020,Kings,16,Net GR Expenditure,245.0
2020-08-01,Aug 2020,Lake,17,Net GR Expenditure,0.0
2020-08-01,Aug 2020,Lassen,18,Net GR Expenditure,11090.0
2020-08-01,Aug 2020,Los Angeles,19,Net GR Expenditure,23086737.0
2020-08-01,Aug 2020,Madera,20,Net GR Expenditure,261.0
2020-08-01,Aug 2020,Marin,21,Net GR Expenditure,275598.0
2020-08-01,Aug 2020,Mariposa,22,Net GR Expenditure,-5019.0
2020-08-01,Aug 2020,Mendocino,23,Net GR Expenditure,5215.0
2020-08-01,Aug 2020,Merced,24,Net GR Expenditure,4746.0
2020-08-01,Aug 2020,Modoc,25,Net GR Expenditure,6325.0
2020-08-01,Aug 2020,Mono,26,Net GR Expenditure,424.0
2020-08-01,Aug 2020,Nevada,29,Net GR Expenditure,5782.0
2020-08-01,Aug 2020,Alameda,01,One-person Cases,7355.0
2020-08-01,Aug 2020,Nevada,29,One-person Cases,53.0
2020-08-01,Aug 2020,Amador,03,One-person Cases,
2020-08-01,Aug 2020,Orange,30,Total GR Expenditure,1049216.0
2020-08-01,Aug 2020,Placer,31,Total GR Expenditure,21614.0
2020-08-01,Aug 2020,Plumas,32,Total GR Expenditure,2721.0
2020-08-01,Aug 2020,Riverside,33,Total GR Expenditure,518799.0
2020-08-01,Aug 2020,Sacramento,34,Total GR Expenditure,1578369.0
2020-08-01,Aug 2020,San Benito,35,Total GR Expenditure,21959.0
2020-08-01,Aug 2020,San Bernardino,36,Total GR Expenditure,25846.0
2020-08-01,Aug 2020,San Diego,37,Total GR Expenditure,1937382.0
2020-08-01,Aug 2020,San Francisco,38,Total GR Expenditure,2460841.0
2020-08-01,Aug 2020,San Joaquin,39,Total GR Expenditure,43196.0
2020-08-01,Aug 2020,San Luis Obispo,40,Total GR Expenditure,127492.0
2020-08-01,Aug 2020,San Mateo,41,Total GR Expenditure,129352.0
2020-08-01,Aug 2020,Santa Barbara,42,Total GR Expenditure,25902.0
2020-08-01,Aug 2020,Santa Clara,43,Total GR Expenditure,700187.0
2020-08-01,Aug 2020,Santa Cruz,44,Total GR Expenditure,61094.0
2020-08-01,Aug 2020,Shasta,45,Total GR Expenditure,107423.0
2020-08-01,Aug 2020,Sierra,46,Total GR Expenditure,4269.0
2020-08-01,Aug 2020,Siskiyou,47,Total GR Expenditure,12788.0
2020-08-01,Aug 2020,Solano,48,Total GR Expenditure,112571.0
2020-08-01,Aug 2020,Sonoma,49,Total GR Expenditure,26628.0
2020-08-01,Aug 2020,Stanislaus,50,Total GR Expenditure,68803.0
2020-08-01,Aug 2020,Sutter,51,Total GR Expenditure,566.0
2020-08-01,Aug 2020,Tehama,52,Total GR Expenditure,14384.0
2020-08-01,Aug 2020,Trinity,53,Total GR Expenditure,1081.0
2020-08-01,Aug 2020,Tulare,54,Total GR Expenditure,71154.0
2020-08-01,Aug 2020,Nevada,29,Total GR Expenditure,6297.0
2020-08-01,Aug 2020,Tuolumne,55,Total GR Expenditure,520.0
2020-08-01,Aug 2020,Napa,28,Total GR Expenditure,512.0
2020-08-01,Aug 2020,Mono,26,Total GR Expenditure,603.0
2020-08-01,Aug 2020,Alameda,01,Total GR Expenditure,2614618.0
2020-08-01,Aug 2020,Alpine,02,Total GR Expenditure,0.0
2020-08-01,Aug 2020,Amador,03,Total GR Expenditure,1170.0
2020-08-01,Aug 2020,Butte,04,Total GR Expenditure,214034.0
2020-08-01,Aug 2020,Calaveras,05,Total GR Expenditure,2980.0
2020-08-01,Aug 2020,Colusa,06,Total GR Expenditure,520.0
2020-08-01,Aug 2020,Contra Costa,07,Total GR Expenditure,125703.0
2020-08-01,Aug 2020,Del Norte,08,Total GR Expenditure,2823.0
2020-08-01,Aug 2020,El Dorado,09,Total GR Expenditure,11766.0
2020-08-01,Aug 2020,Fresno,10,Total GR Expenditure,441196.0
2020-08-01,Aug 2020,Glenn,11,Total GR Expenditure,9954.0
2020-08-01,Aug 2020,Humboldt,12,Total GR Expenditure,51654.0
2020-08-01,Aug 2020,Imperial,13,Total GR Expenditure,15047.0
2020-08-01,Aug 2020,Inyo,14,Total GR Expenditure,11773.0
2020-08-01,Aug 2020,Kern,15,Total GR Expenditure,435804.0
2020-08-01,Aug 2020,Kings,16,Total GR Expenditure,270.0
2020-08-01,Aug 2020,Lake,17,Total GR Expenditure,0.0
2020-08-01,Aug 2020,Lassen,18,Total GR Expenditure,11090.0
2020-08-01,Aug 2020,Los Angeles,19,Total GR Expenditure,23754176.0
2020-08-01,Aug 2020,Madera,20,Total GR Expenditure,11104.0
2020-08-01,Aug 2020,Marin,21,Total GR Expenditure,285093.0
2020-08-01,Aug 2020,Mariposa,22,Total GR Expenditure,12164.0
2020-08-01,Aug 2020,Mendocino,23,Total GR Expenditure,5457.0
2020-08-01,Aug 2020,Merced,24,Total GR Expenditure,10901.0
2020-08-01,Aug 2020,Modoc,25,Total GR Expenditure,6325.0
